abort	stdlib.h, process.h	void abort(void)	프로그램을 종료하되 비정상적으로 종료한다.
calloc	alloc.h, stdlib.h	void *calloc(size_t nitems, size_t size)	동적으로 메모리를 할당한다. 할당된 메모리의 크기는 nitems* size 바이트만큼이다.
ceil	math.h	double ceil(double x)	인수 x를 올림한다. 인수 x의 수직선상에 우측으로 가장 가까운 정수를 찾아내는 함수이다.
cgets	conio.h	char*cgets(char*str)	콘솔로부터 문자열을 입력받아 문자 배열 str에 저장한다.
chdir	dir.h	int chdir(const char*path)	디렉토리를 변경한다. Path에는 변경할 디렉토리명을 적어주고 드라이브명도 포함가능하다.
chmod	io.h	int chmod(const char*path, int amode)	파일 액세스 모드를 변경시킨다.
chsize	io.h	int chsize(int handle, long size)	핸들이 지정하는 파일의 크기를 size로 재설정한다.
circle	graphics.h	void far circle(int x, int radius)	중심(x, y)에서 반지름이 radius인 원을 그린다.
cleardevice	graphics.h	void far cleardevice(void)	그래픽 화면을 지운다. 화면 전체를 배경색으로 덮으며 지정색이 없을 경우 기본값은 검정색이다.
clearerr	stdio.h	void clearerr(FILE *stream)	FILE 구조체의 flags 멤버 제4비트와 제5비트를 리셋시킨다.
clearviewport	graphics.h	void far clearviewport(void)	현재 설정된 뷰포트를 지운다. 내부를 배경색으로 채운다.
clock	time.h	clock_t cloch(void)	프로그램이 시작된 후 경과한 clock tick을 리턴한다.
close	io.h	int close(int handle)	핸들이 지시하는 파일을 닫는다.
closegraph	graphics.h	void far closegraph(void)	그래픽 시스템을 종료하고 텍스트 화면으로 돌아온다.
clreol	conio.h	void clreol(void)	현재 커서 위치에서부터 그 줄의 끝까지를 삭제한다. 삭제 후 커서이동은 없다.
clrscr	conio.h	void clrscr(void)	텍스트 화면을 지우고 커서를 좌상단의 위치로 옮긴다. 그래픽 모드에선 사용할 수 없다.
complex	complex.h	complex complex(double real, double imag)	주어진 실수와 허수를 이용하여 복소수를 만든다.
conj	complex.h	complex conj(complex x)	켤레 복소수를 구한다.
coreleft	alloc.h	unsigned long coreleft(void)	사용 가능한 남은 메모리 용량을 조사한다. 메모리 모델에 따라 측정값이 달라진다.
cos	math.h	double cos(double x)	삼각 함수 cos을 계산한다.
cosh	math.h	double cosh(double x)	쌍곡선  cosh 함수값을 계산한다.
country	dos.h	struct country*country(int xcode, struct country *cp)	날짜, 시간 표현 방법, 화폐 단위 등의 국가마다 다른 정보를 country 구조체에 세트한다.
cprintf	conio.h	int cprintf(const char*format, 인수…)	사용 방법, 서식의 종류가 printf와 동일하다.
cputs	conio.h	int cputs(const char *str)	문자열을 화면으로 출력한다.
creat	io.h, dos.h	int creat(const char*path, int amode)	새로운 파일을 만든다.
creatnew	io.h	int creatnew(const char*path, int attrib)	새로 파일을 만든다. 단 새로 만들 파일이 이미 존재하는 경우에는 에러가 되며 그대로 리턴한다.
creattemp	io.h	int creattemp(char*path, int attrib)	임시 파일을 지정한 디텍토리에 생성한다. 파일 이름은 고유한 이름을 가진다.
cscanf	conio.h	int cscanf(char*format, 인수 …)	콘솔로부터 직접 입력을 받는다. scanf와 비슷하나 다른점은 입력을 화면으로부터 직접 받아들인다.
ctime	time.h	char*ctime(const time_t*time)	time값이 가리키는 시간과 날짜를 문자열로 바꾼다.
ctrlbrk	dos.h	void ctlbrk(int (*handle)(void))	Ctrl-Break에 대한 handler 함수, Ctrl-Break 키가 눌러졌을 때의 처리를 하는 함수를 설정한다.
delay	dos.h	void delay(unsiged miliseconds)	일정 기간동안 시간을 끈다. 게임등에서 속도를 지연시키기 위해 주로 사용한다.
delline	conio.h	void delline(void)	현재 커서 위치의 한 행을 삭제한다. 텍스트 모드에서만 사용가능한 함수이다.
detectgraph	graphics.h	void far datectgraph(int far*graphdriver, int far*graphmode)	현재 시스템에 장착되어 있는 그래픽 드라이버를 찾아주며 제공하는 최고의 고해상도 모드를 찾아준다.
difftime	time.h	double difftime(time_t time2, time_t time1)	time1, time2가 가리키는 시간의 차이를 초 단위로 계산한다.
disable	dos.h	void disable(void)	하드웨어 인터럽트를 금지시킨다.
div	stdlib.h	div_t div(int number, int denom)	두 정수로 나눗셈을 하고 그 몫과 나머지를 stdlib.h에 정의된 div_t 구조체로 리턴한다.
dosexterr	dos.h	int dosexterr(struct DOSERROR*eblkp)	도스 펑션 콜이 실패한 후에 확장된 에러 정보를 읽어와 DOSERROR  구조체에 세트한다.
dostounix	dos.h	long dostounix(struct date*d, struct time*t)	getdate 함수와 gettime 함수에 의해 조사된 날짜와 시간 형식을 유닉스형으로 바꾼다.
drawpoly	graphics.h	void far drawploy(int numpoints, int far*polypoints)	다각형의 외각선을 그린다.
dup	io.h	int dup(int handle)	파일 핸들을 복사하여 새로운 파일핸들을 만든다.
dup2	io.h	int dup2(int oldhandle, int newhandle)	oldhandle을 newhandle로 복사한다.
ecvt	stdlib.h	char*ecvt(double value, int ndig, int*dec, int*sign)	실수값을 문자열로 바꾼다. 변환된 문자열은 정적 데이터 영역에 저장되어져 포인터만 리턴된다.
ellipse	graphics.h	void far ellipse(int x, int y, int stangle, int endangle, int xradius, int yradius)	반지름(x, y)를 중심으로 시작각에서 끝각까지 x,y축 반지름을 지정하여 타원을 그린다.
enable	dos.h	void enable(void)	하드웨어 인터럽트를 가능하게 한다.
eof	io.h	int eof(int handle)	현재 위치가 파일 끝이면 1을 리턴하고 파일 끝이 아니면 0을 리턴한다.
exec	process.h	int execl(char *path, char*arg0,…,NULL)	exec.. 함수는 child 프로그램을 읽어와서 실행시킨다. 현재 프로그램은 종료된다.
exp	math.h	double exp(double x):	이 함수로 넘겨지는 x값에 따라서는 overflow가 발생할 수 있다.
fabs	math.h	double fabs(double x)	부동 소수점의 절대값을 계산한다.
farcalloc	alloc.h	void far*farcalloc(unsigned nunits, unsigned long unitsz)	far heap에서 동적 메모리를 할당한다. 할당되는 메모리의 총 량은 nuints*unitsz 바이트이다.
farcoreleft	alloc.h	unsigned long farcoreleft(void)	far heap의 사용 가능한 메모리 용량을 조사한다.
farfree	alloc.h	void farfree(void far*block)	faralloc, farrealloc, farcalloc 등에 의해 할당된 far heap의 할당을 해제한다.
farmalloc	alloc.h	void far*farrnalloc(unsigned long nbytes)	far heap에서 동적 메모리를 할당한다.
farrealloc	alloc.h	void *farrealloc(void far*oldblock, unsigned long nbytes)	이미 할당되어 있는 메모리의 크기를 축소시키거나 확장시킨다.
fclose	stdio.h	int fclose(FILE *stream)	개방된 스트림을 닫는다. 버퍼가 지워진다.
fcloseall	stdio.h	int fcloseall(void)	열려져 있는 모든 스트림을 폐쇄한다.
fcvt	stdlib.h	char*fcvt(double value, int ndig, int*dec, int*sign)	실수값을 문자열로 바꾼다. 변환된 문자열은 정적 데이터 영역에 저장되어져 포인터만 리턴된다.
fdopen			
feof	stdio.h	int feof(FILE*stream)	FILE 구조체의 flags 멤버의 제5비트의 값을 검사한다.
ferror	stdio.h	int ferror(FILE*stream)	주어진 스트림에서 읽기, 쓰기 동작에서의 에러가 있었는지 검사한다.
fflush	stdio.h	int fflush(FILE*stream)	스트림에 할당되어 있는 버퍼를 비운다. 입력, 출력 상황에 따라 버퍼를 비우는 의미가 다르다.
fgetc	stdio.h	int fgetc(FILE*stream)	스트림으로부터 한 문자를 읽어온다. 문자형 변수에 대입할 경우 에러 검출을 할 수 없다.
fgetchar	stdio.h	int fgetchar(void)	키보드로부터 한 문자를 입력받는다. 단일 문자 입력에 사용하는 것은 좋지 않다.
fgetpos	stdio.h	int fgetpos(FILE*stream, fpos_t*pos)	스트림의 현재 파일 포인터를 조사해 pos변수에 저장한다.
fgets	stdio.h	char *fgets(char*s, int n, FILE*stream)	\n'문자를 만날 때까지 문자열을 읽어들인다. 문자열 뒤에 NULL문자가 삽입된다.
filelength	io.h	long filelength(int handle)	handle이 지정하는 파일의 길이를 조사한다.
fileno	stdio.h	int flieno(FILE*stream)	스트림의 파일 핸들을 조사한다.
fillellipse	graphics.h	void far fillellipse(int x, int y, int xradius, int yradius)	중심(x, y)에서 x축 y축 반지름을 개별적으로 지정해 타원을 그리며 내부를 채운다.
fillpoly	graphics.h	void far fillpoly(int numpoints, int far*polypoints)	drawpoly와 유사한 작용을 하며 numpoints가 지정하는 만큼의 다각형을 그린다.
findfirst	dir.h	int findfirst(const char*pathname, struct ftblk *ftblk, int attrib)	와일드 카드로 주어진 조건을 만족하는 첫 번째 파일을 찾는다.
findnext	dir.h	int findnext(struct ftblk*ftblk)	findfirst가 최초 검색하여 설정한 ftblk 구조체의 정보를 이용하여 검색을 계속 수행해 나간다.
floodfill	graphics.h	void far floodfill(int x, int y, int border)	닫혀져 있는 다각형의 내부를 채운다.
floor	math.h	double floor(double x)	인수 x를 내림한다. 인수 x의 수직선상에 좌측으로 가장 가까운 정수를 찾아내는 함수이다.
flushall	stdio.h	int flushall(void)	현재 개방된 모든 스트림에 할당되어 있는 버퍼를 비운다.
fmod	math.h	double fmod(double x, double y)	실수 x를 실수 y로 나눈 나머지를 구한다.
fnmerge	dir.h	void fnmerge(char *path, const char *drive, const char *dir, const char *name, const char *ext)	경로를 이루는 각각의 요소를 합쳐 하나의 완전한 경로를 만든다.
fnsplit	dir.h	int fnsplit(const char *path, char *drive, char *dir, char *name, char *ext)	하나의 완전한 경로를 각각의 요소로 분리시킨다.
fopen	stdio.h	FILE *fopen(const char *filename, const char *mode)	스트림을 개방하고 FILE형 구조체를 만들어 정보를 기입한 후 포인터를 리턴한다.
FP_OFF	dos.h	unsigned FP_OFF(farpointer)	farpointer에서 오프셋 값만 분리해낸다.
fprintf	stdio.h	int fpointf(FILR *stream, const char *format, ...)	스트림으로 서식화된 출력을 내보낸다. printf와 유사하다.
FP_SEG	dos.h	unsigned FP_SEG(farpointer)	farpointer에서 세그멘트 값만 분리해낸다.
fputc	stdio.h	int fputc(int c, FILE *stream)	한 문자를 출력한다.
fputchar	stdio.h	int fputchar(int c)	문자 c를 화면에 출력한다. fputc와 같다.
fputs	stdio.h	int fputs(const char *s, FILE *stream)	문자열을 스트림으로 출력한다.
fread	stdio.h	size_t fread(void *ptr, size_t size, size_t n, FILE *stream)	스트림으로부터 길이가 size인 데이터 n개를 지정된 메모리로 읽어들인다.
free	alloc.h, stdlib.h	void free(void*block)	malloc, calloc, realloc 등에 의해 할당된 메모리를 해제한다.
freemem	dos.h	int freemem(unsigned segx)	alloc 호출로 할당된 메모리 블록을 해제한다.
freopen	stdio.h	FILE *freopen(const char *filename, const char *mode, FILE *stream)	개방되어 있는 스트림을 filename으로 대체한다.
frexp	math.h	double frexp(double x, int *exponent)	상용로그 log a의 가수값을 계산한다.
fscanf	stdio.h	int fscanf(FILE *stream, const char *format, ...)	스트림으로부터 서식화된 입력을 행한다. scanf와 유사하다.
fseek	stdio.h	int fseek(FILE *stream, long int offset, int whence)	스트림의 파일 포인터를 새롭게 설정한다.
fsetpos	stdio.h	int fsetpos(FILE *stream, const fpos_t *pos)	현재의 파일 포인터를 새롭게 설정한다.
fstat	sys/stat.h	int fstat(int handle, struct stat *statbuf)	오픈되어 있는 파일의 정보를 statbuf에 저장한다.
ftell	stdio.h	int ftell(FILE *stream)	스트림의 현재 파일 포인터를 조사한다.
ftime	sys/timeb.h	void ftime(struct timeb *buf)	현재 시간을 timeb 구조체에 저장한다.
fwrite	stdio.h	size_t fwrite(const void *ptr, size_t size, size_t n, FILE *stream)	스트림으로 포인터에 들어있는 데이터를 size*n바이트만큼 출력한다.
gcvt	stdio.h	char *gcvt(double value, int ndec, char *buf)	실수형 수치를 ndec자리수까지 문자열로 바꿔 buf에 저장한다.
geninterrupt	dos.h	void geninterrupt(int intr_num)	intr_num이 지시하는 소프트웨어 인터럽트를 실행시킨다.
getarccoords	graphics.h	void far getarccoords(struct arccoordstypr far *arccoords)	마지막 arc 호출에 관한 정보를 arccoords가 가리키는 구조체에 저장한다.
getaspectratio	graphics.h	void far getaspectratio(int far *xasp, int far *yasp)	원의 종횡비를 조사한다.
getbkcolor	graphics.h	int far getbkcolor(void)	현재 배경색을 조사한다.
getc	stdio.h	int getc(FILE *stream)	스트림에서 한 문자를 읽어온 뒤 파일 포인터를 1 증가시킨다.
getcbrk	dos.h	int getcbrk(void)	Ctrl-Break 체크 상태를 조사한다.
getch	conio.h	int getch(void)	키보드에서 문자 하나를 입력받는다.
getchar	stdio.h	int getchar(void)	키보드에서 문자 하나를 입력받는다.
getche	conio.h	int getche(void)	키보드에서 문자 하나를 입력받는다.
getcolor	graphics.h	int far getcolor(void)	현재 설정된 전경색을 리턴한다.
getcurdir	dir.h	int getcurdir(int drive, char *directory)	지정된 드라이브의 디렉토리를 조사해 인수 dir가 지정하는 메모리에 저장한다.
getcwd	dir.h	char *getcwd(char *buf, int buflen)	현재 작업중인 디렉토리를 조사해 buf에 저장한다.
getdate	dos.h	void getdate(struct date *datep)	현재 날짜를 확인한다.
getdefaultpalette	graphics.h	struct palettestype *far getdefaultpalette(void)	그래픽 시스템을 초기화할 때의 팔레트 타입 구조체를 찾는다.
getdfree	dos.h	void getdfree(unsigned char drive, struct dfree *dtable)	디스크의 공간 정보를 제공해준다.
getdisk	dir.h	int getdisk(void)	현재 드라이브의 번호를 조사한다.
getdrivername	graphics.h	char far *getdrivername(void)	그래픽 모드를 초기화할 때 어떤 BGI 드라이버가 로드되었는지 조사한다.
getdta	dos.h	char far *getdta(void)	디스크 전송 주소의 현재 설정 상태를 조사한다.
getenv	stdlib.h	char *getenv(const char *name)	환경변수를 조사해서 조사한 문자열을 얻는다.
getfat	dos.h	void getfat(unsigned char drive, struct fatinfo *dtable)	드라이브의 FAT정보를 가져와 dtable 구조체에 저장한다.
getfatd	dos.h	void getfatd(struct fatinfo *dtable)	드라이브의 FAT정보를 가져와 dtable 구조체에 저장한다.
getfillpattern	graphics.h	void far getfillpattern(char far *pattern)	사용자 정의 채색 무늬를 읽어와 메모리 영역에 복사한다.
getfillsettings	graphics.h	void far getfillsettings(struct fillsettingstype far *fillinfo)	지정된 채색 무늬와 색상을 조사한다.
getftime	io.h	int getftime(int handle, struct ftime *ftimep)	파일의 시간과 날짜에 관한 정보를 조사한다.
getgraphmode	graphics.h	int far getgraphmodel(void)	현재 선택된 그래픽 모드를 조사한다.
getimage	graphics.h	void far getimage(int left, int top, int right, int bottom, void far *bitmap)	지정된 영역의 이미지를 지정된 메모리 번지로 복사한다.
getlinesettings	graphics.h	void far getlinesettings(struct linesettingstype far *lineinfo)	지정된 선의 모양과 굵기를 조사한다.
getmaxcolor	graphics.h	int far getmaxcolor(void)	현재 사용할 수 있는 색상의 최고 번호를 계산해준다.
getmaxmode	graphics.h	int far getmaxmode(void)	현재 그래픽 드라이버의 최대 모드값을 조사한다.
getmaxx	graphics.h	int far getmaxx(void)	현재 그래픽 드라이브와 모드에서 최대 X좌표를 알아낸다.
getmaxy	graphics.h	int far getmaxy(void)	현재 그래픽 드라이브와 모드에서 최대 Y좌표를 알아낸다.
getmodename	graphics.h	char *getmodename(int mode_number)	현재 그래픽 모드의 이름을 조사한다.
getmoderange	graphics.h	void far getmoderange(int graphdriver, int far *lomode, int far *himode)	그래픽 드라이버의 가장 낮은 모드와 가장 높은 모드를 조사한다.
getpalette	graphics.h	void far getpalette(struct palettetype far *palette)	설정된 팔레트의 크기와 색상 정보를 조사해 팔레트 구조체에 저장한다.
getpalettesize	graphics.h	void far getpalettesize(void)	그래픽 드라이버와 모드에서 사용 가능한 팔레트의 최대 개수를 알려준다.
getpass	conio.h	char *getpass(const char *prompt)	문자열을 패스워드 형식으로 입력받는다.
getpid	process.h	unsigned getpid(void)	각 프로그램의 프로세서 ID를 조사한다.
getpixel	graphics.h	unsigned far getpixel(int x, int y)	특정 좌표의 색상을 조사한다.
getpsp	dos.h	unsigned getpsp(void)	psp의 세그먼트 주소를 조사한다.
gets	stdio.h	char *gets(char *s)	문자열을 입력받아 s에 저장한다.
gettext	conio.h	int gettext(int left, int top, int right, int bottom, void *destin)	지정 영역의 문자들을 지정된 메모리 영역에 저장한다.
gettextinfo	conio.h	void gettextinfo(struct text_info *r)	텍스트 모드에 관한 정보를 읽어 구조체에 저장한다.
gettextsettings	graphics.h	void far gettextsettings(struct textsettingstype far *texttypeinfo)	settextstyle 등의 함수에 의해 설정된 값을 읽어온다.
gettime	dos.h	void gettime(struct time *timep)	시간을 읽어와 구조체에 저장한다.
getvect	dos.h	void interrupt(*getvect(int interruptno))()	지정된 인터럽트의 시작 번지를 리턴한다.
getverify	dos.h	int getverify(void)	도스의 verify flag 상태를 조사한다.
getviewsettings	graphics.h	void far getviewsettings(struct viewporttype far *viewport)	설정된 뷰포트에 대한 정보를 조사한다.
getw	stdio.h	int getw(FILE *stream)	스트림으로부터 정수 2바이트를 읽어온다.
getx	graphics.h	int far getx(void)	현재 화면 내의 현 위치의 X좌표를 읽어온다.
gety	graphics.h	int far gety(void)	현재 화면 내의 현 위치의 Y좌표를 읽어온다.
gmtime	time.h	struct tm *gmtime(const time _t *time)	time 함수로 구한 시간을 GMT 표준 시각으로 변환해준다.
gotoxy	conio.h	void gotoxy(int x, int y)	커서의 위치를 (x, y)로 이동시킨다.
graphdefaults	graphics.h	void far graphdefaults(void)	모든 그래픽 세팅을 초기화시킨다.
grapherrormsg	graphics.h	char far *grapherrormsg(int errorcode)	에러 메시지 문자열의 포인터를 구한다.
graphresult	graphics.h	int far graphresult(void)	마지막 그래픽 동작이 실패했을 때의 에러값을 조사한다.
harderr	dos.h	void harderr(int(*handler)())	치명적 에러 처리 함수를 지정한다.
hardresume	dos.h	void hardresume(int axret)	도스로 0~2의 값을 가지고 복귀한다.
hardretn	dos.h	void hardretn(int retn)	에러를 유발한 프로그램으로 복귀한다.
heapcheck	alloc.h	int heapcheck(void)	힙을 검사하고 내부 속성을 점검한다.
heapcheckfree	alloc.h	int heapcheckfree(unsigned int fillvalue)	힘에 남아 있는 자유 영역이 주어진 값을 갖고 있는지 조사한다.
heapchecknode	alloc.h	int heapchecknode(void *node)	주어진 메모리 블록을 점검하여 현재 상태를 검사한다.
heapfillfree	alloc.h	int heapfillfree(unsigned int fillvalue)	힙에 남아 있는 사용가능한 자유영역을 주어진 값으로 채운다.
heapwalk	alloc.h	int heapwalk(struct heapinfo *hi)	힙에 할당된 메모리 블록들을 순회하며 상태를 조사한다.
highvideo	conio.h	void highvideo(void)	현재 문자의 속성을 고휘도 문자로 설정한다.
hypot	math.h	double hypot(double x, double y)	직각 삼각형의 빗변을 계산한다.
imag	complex.h	double imag(double x)	복소수의 허수부를 계산한다.
imagesize	graphics.h	void far imagesize(int left, int top, int right, int bottom)	이미지를 저장하기 위해 필요한 메모리의 크기를 구한다.
initgraph	graphics.h	void far initgraph(int far *graphdriver, int far *graphmode, char far *pathtoname)	그래픽 드라이버를 로드하고 그래픽 모드 및 설정을 초기화한다.
inport	dos.h	int inport(int portid)	portid 포트에서 2바이트를 입력받는다.
inportb	dos.h	unsigned char inportb(int portid)	portid 포트에서 1바이트를 입력받는다.
insline	conio.h	void insline(void)	현재 커서의 위치에 공백 한 줄을 삽입한다.
installuserdriver	graphics.h	int far installuserdriver(char far *name, int huge(*detect)(void))	새로운 BGI 드라이버를 설치한다.
installuserfont	graphics.h	int far installuserfont(char far *name)	BGI 시스템에 들어 있지 않은 폰트를 읽어와서 설치한다.
int86	dos.h	int int86(int intno, union REGS *inregs, union REGS *outregs)	인터럽트를 호출한다.
int86x	dos.h	int int86x*int intno, union REGS *inregs, union REGS *outregs, struct SREGS *segregs)	int86함수에 더해 세그먼트 레지스터도 전달해준다.
intdos	dos.h	int intdos(union REGS *inregs, union REGS *outregs)	0x21번 인터럽트를 호출한다.
intdosx	dos.h	int intdosx(union REGS *inregs, union REGS *outregs, struct SREGS *segregs)	0x21번 인터럽트를 호출하되 세그먼트 레지스터값을 인수로 전달한다.
intr	dos.h	void intr(int intno, struct REGPACK *preg)	소프트웨어 인터럽트를 호출한다.
ioctl	io.h	int ioctl(int handle, int func[, void *argdx, int argcx])	디스크, 직병렬 포트에 대한 직접적인 IO서비스를 제공한다.
isalnum	ctype.h	int isalnum(int c)	c가 알파벳인지 숫자인지 조사해준다.
isalpha	ctype.h	int isalpha(int c)	c가 알파벳인지 조사해준다.
isascii	ctype.h	int isascii(int c)	c가 아스키문자인지 조사해준다.
isatty	io.h	int isatty(int handle)	인수로 주어진 핸들이 다음과 같은 종류의 문자 입출력용 장치와 연결되어 있는가를 조사한다.
iscntrl	ctype.h	int iscntrl(int c)	이 함수는 c가 제어 문자인 경우를 조사해 준다. 
isdigit	ctype.h	int isdigit(int c)	c가 숫자인지 조사해 준다. 즉 c가 0~9 사이의 문자이면 참을 리턴한다.
isgraph	ctype.h	int isgraph(int c)	문자 c가 출력 가능한 문자인가를 검사한다.
islower	ctype.h	int islower(int c)	문자 c가 소문자인지 검사해준다.
isprint	ctype.h	int isprint(int c)	c가 프린트 가능한 문자인지 조사해준다.
ispunct	ctype.h	int ispunct(int c)	문자 c가 구두점인지 판별해 준다.
isspace	ctype.h	int isspace(int c)	문자 c가 공백 문자인지를 검사해 준다.
isupper	ctype.h	int isupper(int c)	문자 c가 대문자인지 검사해 준다.
isxdigit	ctype.h	int isxdigit(int c)	문자 c가 16진수 표현에 사용되는 문자인지 조사해 준다.
itoa	stdlib.h	char* itoa(int value, char* string, int radix)	정수를 문자열로 바꾼다.
kbhit	conio.h	int kbhit(void)	키보드로부터 입력된 키가 있는지 조사한다.
keep	dos.h	void keep(unsigned char status, unsigned size)	프로그램을 메모리에 남겨둔 채 도스로 복귀한다.
labs	math.h	long int labs(long int x)	long형 정수의 절대값을 계산한다.
ldexp	math.h	double ldexp(double x, int exp)	x*2exp를 계산한다. X*pow(2, exp)와 동일한 결과를 내는 함수
ldiv	stdlib h	ldiv_t ldiv(long int number, long int denom)	두 long형 정수로 나눗셈을 하고 그 몫과 나머지를 stdlib.h에 정의된 div_t 구조체로 리턴한다.
lfind	stdlib.h	void lfind(const void* key, const void* base, size_t nelem, size_t width, int (*fcmp)(const void*, const void*))	선형 탐색을 수행하여 테이블에서 키값을 찾아낸다.
line	graphics.h	void line(int x1, int y1, int x2, int y2)	(x1, y1) 좌표에서 (x2, y2)까지 선을 그린다.
linerel	graphics.h	void linerel(int dx, int dy)	현재 CP에서 상대적 좌표값으로 이동한다.
lineto	graphics.h	void lineto(int x, int y)	CP로부터 (x, y) 위치로 선을 긋는다.
localeconv	locale.h	struct* localeconv(void)	국가마다 다른 화폐기호나 날짜 형식을 지정하는 locale 구조체를 조사한다.
localtime	time.h	struct tm* localtime(const time_t* timer)	time 함수에 의해 구해진 시간을 tm 구조체에 저장하며 이때 저장되는 시간은 적당히 조정된 시간.
lock	io.h	int lock(int handle, long offset, long length)	도스 3.x의 파일 공유 기법 인터페이스를 제공한다.
log	math.h	double log(double x)	x의 자연로그를 계산한다.
log10	math.h	double log10(double x)	x의 상용로그를 계산한다.
longjmp	setmp.h	void longjmp(jmp_buf jmpb, int retval)	마지막으로 호출된 setjmp가 jmpb에 저장해 둔 작업 상태를 복구시키며 setjmp가 retval을 리턴한 곳으로 돌아간다.
lowvideo	conio.h	void lowvideo(void)	현재 문자의 속성을 낮은 휘도의 문자 속성으로 설정한다.
_lrotl	stdlib.h	unsigned long _lrotl(unsigned long val, int count)	value값을 왼쪽으로 count만큼 회전시킨다.
_lrotr	stdlib.h	unsinged long _lrotr(unsigned long val, int count)	value 값을 오른쪽으로 count만큼 회전시킨다.
lsearch	stdlib.h	void lsearch(const void* key, const void* base, size_t nelem, size_t width, int (*fcmp)(const void*, const void*))	선형 탐색을 수행하여 테이블상에 키 항목이 최초로 발견된 번지를 리턴하되 발견되지 않을 경우 키 항목을 테이블에 첨가한다.
lseek	io.h	long lseek(int handle, long offset, int fromwhere)	파일 포인터(FP)를 새롭게 설정한다.
ltoa	stdlib.h	char* ltoa(long value, char* string, int radix)	long형 정수를 문자열로 바꾼다.
malloc	alloc.h, stdlib.h	void* malloc(size_t size)	동적으로 메모리를 할당한다. 이때 할당되는 메모리는 heap이다.
_matherrl	math.h	int _matherrl(struct _exception* (e))	matherr함수와 기능이 같으며 차이점은 이 함수는 long double형을 계산하고 구조체가 다른 점이다.
